label,text
0,"consumer  Novabev Group — один из ведущих игроков алкогольного сектора российской экономики, лидер по производству крепкого алкоголя: водки, коньяка, виски и ликеро-водочных изделий. В активах компании семь производственных комплексов, а продуктовая линейка представлена более 100 партнерскими и более 50 собственными брендами, три из которых — Беленькая, Архангельская и Царь — вошли в рейтинг 30 самых продаваемых водок в мире по версии The Millionaires’ Club в 2023 году.  С 2011 года компания также сделала упор на дистрибуцию, стали открываться магазины сети Винлаб. В 2023 году масштаб собственной розничной сети превысил планку в 1 650 торговых точек, а общая аудитория программы лояльности превысила 7,0 млн человек."
0,"consumer  Ozon — мультикатегорийный маркетплейс, с развитой логистической сетью. Компания входит в топ-5 крупнейших российских ритейлеров и развивает бизнес в России, странах СНГ, Китае и Турции. По итогам первой половины 2023 года оборот маркетплейса превысил 675 млрд рублей. На Ozon торгует более 300 000 продавцов, которые предлагают на площадке более 200 млн товарных наименований. Платформу ежемесячно посещает более 65 млн пользователей Рунета, а число ее активных покупателей достигло 40 млн человек.   Ozon активно развивает систему сервисов, в числе которых собственный банк, а также сервисы быстрой доставки продуктов и бронирования путешествий."
0,"consumer  Инарктика — крупнейшая российская компания по выращиванию и товарной реализации лосося и форели. Компания охватывает полный цикл производства: от закупки икры до продажи переработанной рыбы через поставщиков либо напрямую ритейлерам.   В активах компании 34 действующих участка для выращивания лосося и форели, а также 13 ферм в Баренцевом море и Карелии. В феврале 2023 года Инарктика приобрела Архангельский водорослевый комбинат, что позволяет компании диверсифицировать свой бизнес и продуктовую линейку"
0,"consumer  Лента является одним из ведущих российских ритейлеров и крупнейшим оператором более 250 гипермаркетов. Под управлением сети находится около 500 магазинов малых форматов более чем в 200 городах России, а также 15 распределительных центров. Из последних сделок — покупка сети магазинов «у дома» Монетка, в которую входит 2 120 точек преимущественно на Урале и в Западной Сибири."
0,"consumer ПАО «Абрау-Дюрсо» - российская винодельческая компания, располагающаяся в Новороссийске. Компания занимается производством игристых вин, а также предоставляет услуги общественного питания и гостиничные услуги. Группа компаний «Абрау-Дюрсо» выпускает игристые вина, произведенные по классической технологии и методом Charmat, тихие вина, а также сидр, крепкие алкогольные напитки, безалкогольные газированные напитки и артезианскую воду."
0,"consumer ПАО «Аэрофлот - российские авиалинии» предоставляет услуги авиаперевозок. Компания предлагает информацию о рейсах, прокат автомобилей, услуги онлайн регистрации, управление флотом, а также обработку грузов и обслуживает клиентов по всему миру. Аэрофлот — крупнейшая авиакомпания России, одна из старейших в мире, основанная в 1923 году. За свою историю 9 раз выигрывала премию лучшей авиакомпании Восточной Европы от Skytrax World Airline Awards. По итогам 2021 года компания перевезла 21,4 млн пассажиров на 356 воздушных судах.  Государство оказывает существенную помощь компании: на поддержку лизинга самолетов будет выделено 175 млрд рублей в 2023 году, также активно ведется работа по импортозамещению — в сентябре 2022 года ОАК и Аэрофлот подписали соглашение на поставку 339 самолетов. "
0,"consumer ПАО «Группа Черкизово» - производитель мясных изделий на рынке куриного мяса, свинины и продуктов мясопереработки. Оргструктура компании включает объекты для хранения зерна, производства кормов, разведения и убоя скота, мясопереработки и распределения, а стратегия - консолидацию российского мясного рынка через собственный рост, а также слияние и приобретение компаний. Один из крупнейших производителей мясной продукции в России, группа лидирует по совокупному производству мяса птицы, а по производству свинины занимает второе место. "
0,"consumer ПАО «М.Видео» управляет сетью розничных магазинов бытовой электроники и техники. Компания продает аудио и видео продукцию, кухонную технику, компьютеры и офисное оборудование, телефоны, фильмы, музыкальные записи и игрушки. М.Видео — крупнейшая в России сеть по продаже бытовой техники и электроники, объединяет розничные бренды М.Видео и Эльдорадо. Компания является одним из пионеров онлайн-ритейла в России: первый интернет-магазин М.Видео был открыт в 2001 году, а с 2014 года компания начала внедрение омниканальной бизнес-модели.  В 2021 году компания объединяла 1 137 магазинов в 314 городах России. Оборот М.Видео в 2021 году превысил 570 миллиардов рублей, при этом доля онлайн-продаж составила 68%, что делает компанию одним из крупнейших игроков онлайн-торговли в России."
0,"energy ПАО «ЛУКОЙЛ» занимается разведкой, добычей, переработкой, транспортировкой и поставками на рынок нефти и газа в основном из Западносибирского региона. Компания также производит нефтехимические продукты, топливо и другие нефтепродукты, управляет сетью НПЗ и автозаправочных станций в России и США, транспортирует нефть по трубопроводам и нефтепродукты на своих кораблях. ЛУКОЙЛ — одна из крупнейших нефтегазовых компаний в мире, на ее долю приходится 2% мировой добычи нефти и 1% доказанных запасов углеводородов. Компания представлена более чем в 30 странах, а в России ее деятельность охватывает около 70% регионов.   Значительную часть нефтепродуктов ЛУКОЙЛ реализует на розничном рынке через диверсифицированную сбытовую сеть, которая состоит из 5 309 АЗС и 132 нефтебаз в 18 странах мира. В 2022 году компания осуществила несколько крупных сделок по приобретению российских активов Shell – 411 АЗС, также завершила  покупку доли 56,4% в энергетической компании «Энел Россия» в октябре 2022 года."
0,"energy ПАО «НОВАТЭК» производит и распространяет газ. Компания занимается разработкой, обработкой, транспортировкой и поставкой на рынок природного газа и жидких углеводородов, а также предлагает разработку месторождений углеводородов, геологоразведку и услуги по переработке газового конденсата. НОВАТЭК — крупнейший независимый производитель природного газа в России. Занимается добычей, переработкой и реализацией природного газа. Ключевые активы компании находятся в Ямало-Ненецком автономном округе — кладовой природного газа, на которую приходится 80% российской добычи и 15% мировых запасов природного газа.   Газ продается не только на внутреннем рынке, но и идет на экспорт в виде СПГ. Компания владеет Ямал СПГ — крупнейшим в России заводом по производству сжиженного газа с объемом добычи 19,6 млн тонн газа в год. Арктик СПГ-2 — второй флагманский проект компании с общим размером капитальных вложений $21,3 млрд. Также планируется строительство нескольких новых заводов. "
